arr_delay,dep_delay,carrier,tailnum,origin,dest,distance,time
4,9,UA,N37502,LAX,KOA,2504,2022-01-01T13:15:00Z
-15,-8,OO,N198SY,LAX,EUG,748,2022-01-01T14:00:00Z
-12,0,AA,N410AN,LAX,HNL,2556,2022-01-01T14:45:00Z
38,-7,UA,N77261,LAX,DEN,862,2022-01-01T19:00:00Z
-9,3,OO,N402SY,LAX,FAT,209,2022-01-01T21:35:00Z
-17,6,OO,N509SY,LAX,SFO,337,2022-01-01T22:20:00Z
5,29,UA,N27509,LAX,MCO,2218,2022-01-01T23:05:00Z
12,-1,AA,N757AN,LAX,MIA,2342,2022-01-01T23:59:00Z
-40,2,DL,N547US,LAX,OGG,2486,2022-01-02T08:00:00Z
6,7,DL,N136DQ,LAX,DEN,862,2022-01-02T10:00:00Z
-7,6,OO,N924SW,LAX,SBP,156,2022-01-02T10:15:00Z
28,13,AA,N435AN,LAX,DCA,2311,2022-01-02T13:36:00Z
25,34,OO,N192SY,LAX,SFO,337,2022-01-02T14:00:00Z
-9,-2,DL,N331DN,LAX,DTW,1979,2022-01-02T14:15:00Z
180,191,OO,N402SY,LAX,SFO,337,2022-01-02T19:45:00Z
23,52,AA,N421UW,LAX,MCO,2218,2022-01-02T22:20:00Z
-4,9,AA,N434AN,LAX,PHL,2402,2022-01-03T06:35:00Z
-25,-1,DL,N536US,LAX,OGG,2486,2022-01-03T08:00:00Z
5,28,WN,N8723Q,LAX,HNL,2556,2022-01-03T09:50:00Z
-4,-8,OO,N177SY,LAX,SJC,308,2022-01-03T10:45:00Z
70,19,UA,N67846,LAX,KOA,2504,2022-01-03T13:00:00Z
11,21,OO,N276SY,LAX,PHX,370,2022-01-03T18:20:00Z
-19,-6,UA,N37525,LAX,LAS,236,2022-01-04T08:15:00Z
-9,-2,OO,N304SY,LAX,SJC,308,2022-01-04T09:30:00Z
-13,0,NK,N946NK,LAX,MSP,1535,2022-01-04T12:35:00Z
-21,-2,DL,N834MH,LAX,JFK,2475,2022-01-04T15:05:00Z
-15,-6,AA,N153UW,LAX,ATL,1947,2022-01-04T23:14:00Z
-35,-3,WN,N8324A,LAX,OGG,2486,2022-01-05T06:15:00Z
-31,0,HA,N384HA,LAX,HNL,2556,2022-01-05T07:00:00Z
-10,-2,AA,N418AN,LAX,DFW,1235,2022-01-05T07:00:00Z
